original_continent,original_state,original_st,original_location_1,original_loc_1,original_location_2,original_loc_2,Geolocation Code
USA,oregon,OR,klamath falls,klamath,,,USA-KLA
USA,oregon,OR,medford-ashland,medford,,,USA-MED
USA,oregon,OR,oregon coast,oregoncoast,,,USA-CSB
USA,oregon,OR,portland,portland,,,USA-POR
USA,oregon,OR,portland,portland,clackamas co,clc,USA-POR-CLC
USA,oregon,OR,portland,portland,clark/cowlitz,clk,USA-POR-CLR
USA,oregon,OR,portland,portland,columbia gorge,grg,USA-POR-COL
USA,oregon,OR,portland,portland,multnomah co,mlt,USA-POR-MUL
USA,oregon,OR,portland,portland,north coast,nco,USA-POR-NOR
USA,oregon,OR,portland,portland,washington co,wsc,USA-POR-WAS
USA,oregon,OR,portland,portland,yamhill co,yam,USA-POR-YAM
USA,oregon,OR,roseburg,roseburg,,,USA-ROE
USA,oregon,OR,salem,salem,,,USA-SAE
USA,pennsylvania,PA,altoona-johnstown,altoona,,,USA-ALO
USA,pennsylvania,PA,cumberland valley,chambersburg,,,USA-CHB
USA,pennsylvania,PA,erie,erie,,,USA-ERI
USA,pennsylvania,PA,harrisburg,harrisburg,,,USA-HAP
USA,pennsylvania,PA,lancaster,lancaster,,,USA-LAA
USA,pennsylvania,PA,lehigh valley,allentown,,,USA-ALL
USA,pennsylvania,PA,meadville,meadville,,,USA-MEA
USA,pennsylvania,PA,philadelphia,philadelphia,,,USA-PHI
USA,pennsylvania,PA,pittsburgh,pittsburgh,,,USA-PIT
USA,pennsylvania,PA,poconos,poconos,,,USA-EAS
USA,pennsylvania,PA,reading,reading,,,USA-PHI-REA
USA,pennsylvania,PA,scranton / wilkes-barre,scranton,,,USA-SCR
USA,pennsylvania,PA,state college,pennstate,,,USA-SEC
USA,pennsylvania,PA,williamsport,williamsport,,,USA-WIA
USA,pennsylvania,PA,york,york,,,USA-YOR
USA,rhode island,RI,rhode island,providence,,,USA-RI
USA,south carolina,SC,charleston,charleston,,,USA-CRS
USA,south carolina,SC,columbia,columbia,,,USA-CLS
USA,south carolina,SC,florence,florencesc,,,USA-FLS
USA,south carolina,SC,greenville / upstate,greenville,,,USA-GES
USA,south carolina,SC,hilton head,hiltonhead,,,USA-HIT
USA,south carolina,SC,myrtle beach,myrtlebeach,,,USA-MYR
USA,south dakota,SD,northeast SD,nesd,,,USA-ABS
USA,south dakota,SD,pierre / central SD,csd,,,USA-PIE
USA,south dakota,SD,rapid city / west SD,rapidcity,,,USA-RAP
USA,south dakota,SD,sioux falls / SE SD,siouxfalls,,,USA-SIF
USA,south dakota,SD,south dakota,sd,,,USA-SD
USA,tennessee,TN,chattanooga,chattanooga,,,USA-CHT
USA,tennessee,TN,clarksville,clarksville,,,USA-CA
USA,tennessee,TN,cookeville,cookeville,,,USA-CAV
USA,tennessee,TN,jackson,jacksontn,,,USA-JAT
USA,tennessee,TN,knoxville,knoxville,,,USA-KNO
USA,tennessee,TN,memphis,memphis,,,USA-MEM
USA,tennessee,TN,nashville,nashville,,,USA-NAS
USA,tennessee,TN,tri-cities,tricities,,,USA-JOO
USA,texas,TX,abilene,abilene,,,USA-ABI
USA,texas,TX,amarillo,amarillo,,,USA-AMA
USA,texas,TX,austin,austin,,,USA-AUT
USA,texas,TX,beaumont / port arthur,beaumont,,,USA-BEU
USA,texas,TX,brownsville,brownsville,,,USA-BRX
USA,texas,TX,college station,collegestation,,,USA-COL
USA,texas,TX,corpus christi,corpuschristi,,,USA-COP
USA,texas,TX,dallas / fort worth,dallas,,,USA-DAL
USA,texas,TX,dallas / fort worth,dallas,dallas,dal,USA-DAL-DAL
USA,texas,TX,dallas / fort worth,dallas,fort worth,ftw,USA-DAL-FOR
USA,texas,TX,dallas / fort worth,dallas,mid cities,mdf,USA-DAL-MID
USA,texas,TX,dallas / fort worth,dallas,north DFW,ndf,USA-DAL-NOR
USA,texas,TX,dallas / fort worth,dallas,south DFW,sdf,USA-DAL-SOU
USA,texas,TX,deep east texas,nacogdoches,,,USA-NAC
USA,texas,TX,del rio / eagle pass,delrio,,,USA-DEL
USA,texas,TX,el paso,elpaso,,,USA-ELP
USA,texas,TX,galveston,galveston,,,USA-TX-GAL
USA,texas,TX,houston,houston,,,USA-HOU
USA,texas,TX,killeen / temple / ft hood,killeen,,,USA-KIE
USA,texas,TX,laredo,laredo,,,USA-LRE
USA,texas,TX,lubbock,lubbock,,,USA-LUB
USA,texas,TX,mcallen / edinburg,mcallen,,,USA-MCL
USA,texas,TX,odessa / midland,odessa,,,USA-MDT
USA,texas,TX,san angelo,sanangelo,,,USA-SAT-SAG
USA,texas,TX,san antonio,sanantonio,,,USA-SAT
USA,texas,TX,san marcos,sanmarcos,,,USA-AUT-SAN
USA,texas,TX,southwest TX,bigbend,,,USA-TX-PEC
USA,texas,TX,texoma,texoma,,,USA-PAX
USA,texas,TX,tyler / east TX,easttexas,,,USA-TYL
USA,texas,TX,victoria,victoriatx,,,USA-VIT
USA,texas,TX,waco,waco,,,USA-WAC
USA,texas,TX,wichita falls,wichitafalls,,,USA-WIF
USA,utah,UT,logan,logan,,,USA-LGU
USA,utah,UT,ogden-clearfield,ogden,,,USA-UT-WEB
USA,utah,UT,provo / orem,provo,,,USA-PRO
USA,utah,UT,salt lake city,saltlakecity,,,USA-SLT
USA,utah,UT,st george,stgeorge,,,USA-STG
USA,vermont,VT,vermont,burlington,,,USA-VT
USA,virginia,VA,charlottesville,charlottesville,,,USA-CHS
USA,virginia,VA,danville,danville,,,USA-DNV
USA,virginia,VA,fredericksburg,fredericksburg,,,USA-FRD
USA,virginia,VA,hampton roads,norfolk,,,USA-VIR
USA,virginia,VA,harrisonburg,harrisonburg,,,USA-HAB
USA,virginia,VA,lynchburg,lynchburg,,,USA-LYN
USA,virginia,VA,new river valley,blacksburg,,,USA-BLA
USA,virginia,VA,richmond,richmond,,,USA-RCV
USA,virginia,VA,roanoke,roanoke,,,USA-ROV
USA,virginia,VA,southwest VA,swva,,,USA-VA-SMY
USA,virginia,VA,winchester,winchester,,,USA-WAS-WIC
USA,washington,WA,bellingham,bellingham,,,USA-BLI
USA,washington,WA,kennewick-pasco-richland,kpr,,,USA-KEW
USA,washington,WA,moses lake,moseslake,,,USA-MSE
USA,washington,WA,olympic peninsula,olympic,,,USA-POA
USA,washington,WA,pullman / moscow,pullman,,,USA-PUL
USA,washington,WA,seattle-tacoma,seattle,,,USA-SEA
USA,washington,WA,seattle-tacoma,seattle,eastside,est,USA-SEA-EAS
USA,washington,WA,seattle-tacoma,seattle,kitsap co,kit,USA-SEA-KIT
USA,washington,WA,seattle-tacoma,seattle,olympia,oly,USA-SEA-OLY
USA,washington,WA,seattle-tacoma,seattle,seattle,see,USA-SEA-SEA
USA,washington,WA,seattle-tacoma,seattle,snohomish co,sno,USA-SEA-SNO
USA,washington,WA,seattle-tacoma,seattle,south king,skc,USA-SEA-SOU
USA,washington,WA,seattle-tacoma,seattle,tacoma,tac,USA-SEA-TAC
USA,washington,WA,skagit / island / SJI,skagit,,,USA-WA-ISL
USA,washington,WA,spokane / coeur d'alene,spokane,,,USA-SPO
USA,washington,WA,wenatchee,wenatchee,,,USA-WEN
USA,washington,WA,yakima,yakima,,,USA-YAK
USA,west virginia,WV,charleston,charlestonwv,,,USA-CHW
USA,west virginia,WV,eastern panhandle,martinsburg,,,USA-WV-BER
USA,west virginia,WV,huntington-ashland,huntington,,,USA-HNT
USA,west virginia,WV,morgantown,morgantown,,,USA-MOT
USA,west virginia,WV,northern panhandle,wheeling,,,USA-WHE
USA,west virginia,WV,parkersburg-marietta,parkersburg,,,USA-PAK
USA,west virginia,WV,southern WV,swv,,,USA-BEC
USA,west virginia,WV,west virginia (old),wv,,,USA-WV
USA,wisconsin,WI,appleton-oshkosh-FDL,appleton,,,USS-APP
USA,wisconsin,WI,eau claire,eauclaire,,,USA-EAU
USA,wisconsin,WI,green bay,greenbay,,,USA-GEB
USA,wisconsin,WI,janesville,janesville,,,USA-JAN
USA,wisconsin,WI,kenosha-racine,racine,,,USA-WI-KEO
USA,wisconsin,WI,la crosse,lacrosse,,,USA-LAC
USA,wisconsin,WI,madison,madison,,,USA-MAW
USA,wisconsin,WI,milwaukee,milwaukee,,,USA-MIW
USA,wisconsin,WI,northern WI,northernwi,,,USA-WI-ONE
USA,wisconsin,WI,sheboygan,sheboygan,,,USA-SHB
USA,wisconsin,WI,wausau,wausau,,,USA-WUS
USA,wyoming,WY,wyoming,wyoming,,,USA-WY
